127.0.0.1 - - [30/Jun/2023:14:10:43 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [30/Jun/2023:14:10:44 +0900] "GET /smart/ HTTP/1.1" 200 5248
0:0:0:0:0:0:0:1 - - [30/Jun/2023:14:10:44 +0900] "GET /smart/css/common.css?Fri%20Jun%2030%2014:10:44%20KST%202023 HTTP/1.1" 200 1130
0:0:0:0:0:0:0:1 - - [30/Jun/2023:14:10:44 +0900] "GET /smart/css/styles.css?Fri%20Jun%2030%2014:10:44%20KST%202023 HTTP/1.1" 200 237480
0:0:0:0:0:0:0:1 - - [30/Jun/2023:14:10:44 +0900] "GET /smart/js/common.js?Fri%20Jun%2030%2014:10:44%20KST%202023 HTTP/1.1" 200 7322
0:0:0:0:0:0:0:1 - - [30/Jun/2023:14:10:44 +0900] "GET /smart/js/scripts.js;jsessionid=CDFC56EDFEEF696AB4ABDFB465D758B8 HTTP/1.1" 200 974
0:0:0:0:0:0:0:1 - - [30/Jun/2023:14:10:44 +0900] "GET /smart/img/hanul.logo.png;jsessionid=CDFC56EDFEEF696AB4ABDFB465D758B8 HTTP/1.1" 200 2578
0:0:0:0:0:0:0:1 - - [30/Jun/2023:14:10:44 +0900] "GET /smart/img/hanul.ico;jsessionid=CDFC56EDFEEF696AB4ABDFB465D758B8 HTTP/1.1" 200 9062
0:0:0:0:0:0:0:1 - - [30/Jun/2023:14:10:59 +0900] "GET /smart/notice/list;jsessionid=CDFC56EDFEEF696AB4ABDFB465D758B8 HTTP/1.1" 200 9651
0:0:0:0:0:0:0:1 - - [30/Jun/2023:14:10:59 +0900] "GET /smart/css/styles.css?Fri%20Jun%2030%2014:10:59%20KST%202023 HTTP/1.1" 200 237480
0:0:0:0:0:0:0:1 - - [30/Jun/2023:14:10:59 +0900] "GET /smart/css/common.css?Fri%20Jun%2030%2014:10:59%20KST%202023 HTTP/1.1" 200 1130
0:0:0:0:0:0:0:1 - - [30/Jun/2023:14:10:59 +0900] "GET /smart/js/common.js?Fri%20Jun%2030%2014:10:59%20KST%202023 HTTP/1.1" 200 7322
0:0:0:0:0:0:0:1 - - [30/Jun/2023:14:11:01 +0900] "GET /smart/notice/info?id=536&curPage=1&search=&keyword= HTTP/1.1" 200 6429
0:0:0:0:0:0:0:1 - - [30/Jun/2023:14:11:01 +0900] "GET /smart/css/common.css?Fri%20Jun%2030%2014:11:01%20KST%202023 HTTP/1.1" 200 1130
0:0:0:0:0:0:0:1 - - [30/Jun/2023:14:11:01 +0900] "GET /smart/js/common.js?Fri%20Jun%2030%2014:11:01%20KST%202023 HTTP/1.1" 200 7322
0:0:0:0:0:0:0:1 - - [30/Jun/2023:14:11:01 +0900] "GET /smart/css/styles.css?Fri%20Jun%2030%2014:11:01%20KST%202023 HTTP/1.1" 200 237480
