127.0.0.1 - - [08/Jun/2023:14:40:14 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [08/Jun/2023:14:41:02 +0900] "GET /smart/ HTTP/1.1" 200 4837
0:0:0:0:0:0:0:1 - - [08/Jun/2023:14:41:02 +0900] "GET /smart/css/common.css?Thu%20Jun%2008%2014:41:02%20KST%202023 HTTP/1.1" 200 572
0:0:0:0:0:0:0:1 - - [08/Jun/2023:14:41:02 +0900] "GET /smart/css/styles.css?Thu%20Jun%2008%2014:41:02%20KST%202023 HTTP/1.1" 200 237425
0:0:0:0:0:0:0:1 - - [08/Jun/2023:14:41:02 +0900] "GET /smart/img/hanul.logo.png;jsessionid=C6A13A8C05341B1E786D60DC97CEDE81 HTTP/1.1" 200 2578
0:0:0:0:0:0:0:1 - - [08/Jun/2023:14:41:02 +0900] "GET /smart/js/scripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2023:14:41:02 +0900] "GET /smart/img/hanul.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2023:14:41:03 +0900] "GET /smart/hr/list HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Jun/2023:14:41:03 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [08/Jun/2023:14:42:24 +0900] "GET /smart/ HTTP/1.1" 200 4749
0:0:0:0:0:0:0:1 - - [08/Jun/2023:14:42:24 +0900] "GET /smart/css/common.css?Thu%20Jun%2008%2014:42:24%20KST%202023 HTTP/1.1" 200 572
0:0:0:0:0:0:0:1 - - [08/Jun/2023:14:42:24 +0900] "GET /smart/css/styles.css?Thu%20Jun%2008%2014:42:24%20KST%202023 HTTP/1.1" 200 237425
0:0:0:0:0:0:0:1 - - [08/Jun/2023:14:42:24 +0900] "GET /smart/img/hanul.logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2023:14:42:24 +0900] "GET /smart/img/hanul.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2023:14:42:24 +0900] "GET /smart/hr/list HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Jun/2023:14:42:25 +0900] "GET /smart/ HTTP/1.1" 200 4749
0:0:0:0:0:0:0:1 - - [08/Jun/2023:14:42:25 +0900] "GET /smart/css/styles.css?Thu%20Jun%2008%2014:42:25%20KST%202023 HTTP/1.1" 200 237425
0:0:0:0:0:0:0:1 - - [08/Jun/2023:14:42:25 +0900] "GET /smart/css/common.css?Thu%20Jun%2008%2014:42:25%20KST%202023 HTTP/1.1" 200 572
0:0:0:0:0:0:0:1 - - [08/Jun/2023:14:42:26 +0900] "GET /smart/ HTTP/1.1" 200 4749
0:0:0:0:0:0:0:1 - - [08/Jun/2023:14:42:26 +0900] "GET /smart/css/common.css?Thu%20Jun%2008%2014:42:26%20KST%202023 HTTP/1.1" 200 572
